Start date,End date,3303,3063,3064,3104,3066,3065,3302,3105,3502,21558,3106,3305,5305,5303,21550,5901,4302,3301,3304,3103,total-per-week,month,total-per-month,week no.
"January 4, 2024","January 10, 2024",7,2,1,5,3,3,3,,,,,,,,,,,,,,24,January 2024,111,1
"January 11, 2024","January 17, 2024",7,,,7,7,7,,,,,,,,,,,,,,,28,January 2024,111,2
"January 18, 2024","January 24, 2024",7,,,7,7,7,,,,,,,,,,,,,,,28,January 2024,111,3
"January 25, 2024","January 31, 2024",5,,,4,7,7,5,3,,,,,,,,,,,,,31,January 2024,111,4
"February 1, 2024","February 7, 2024",1,5,1,,1,,7,6,,,,,,,,,,,,,21,February 2024,104,5
"February 8, 2024","February 14, 2024",,7,7,,,,7,6,,,,,,,,,,,,,27,February 2024,104,6
"February 15, 2024","February 21, 2024",,7,6,,,,7,7,,,,,,,,,,,,,27,February 2024,104,7
"February 22, 2024","February 28, 2024",,7,7,5,,,2,3,5,,,,,,,,,,,,29,February 2024,104,8
"February 29, 2024","March 6, 2024",,3,3,7,,,,,7,,,,,,,,,,,,20,March 2024,149,9
"March 7, 2024","March 13, 2024",,,,6,7,7,,,7,,,,,,,,,,,,27,March 2024,149,10
"March 14, 2024","March 20, 2024",,,,5,7,7,,4,7,4,,,,,,,,,,,34,March 2024,149,11
"March 21, 2024","March 27, 2024",,,,3,7,7,4,6,3,6,4,,,,,,,,,,40,March 2024,149,12
"March 28, 2024","April 3, 2024",,,,,7,7,7,,,,7,,,,,,,,,,28,March 2024,149,13
"April 4, 2024","April 10, 2024",,,,,6,6,7,,,,7,,,,,,,,,,26,April 2024,65,14
"April 11, 2024","April 17, 2024",,,,,,,7,,,,7,,,,,,,,,,14,April 2024,65,15
"April 18, 2024","April 24, 2024",,,,,,,6,,,,5,4,,,,,,,,,15,April 2024,65,16
"April 25, 2024","May 1, 2024",,,,,,,2,,,4,,4,,,,,,,,,10,April 2024,65,17
"May 2, 2024","May 8, 2024",,,,,,,,,5,5,,,2,1,,,,,,,13,May 2024,78,18
"May 9, 2024","May 15, 2024",,,,,,,,1,3,6,3,4,4,,3,,,,,,24,May 2024,78,19
"May 16, 2024","May 22, 2024",,,,,,,,,7,1,2,,7,,2,,,,,,19,May 2024,78,20
"May 23, 2024","May 29, 2024",,,,,,,,,7,,5,,7,,2,1,,,,,22,May 2024,78,21
"May 30, 2024","June 5, 2024",,,,,,,2,,7,,4,,5,,,,,,,,18,June 2024,83,22
"June 6, 2024","June 12, 2024",1,,,,,,7,,7,,,,,,,,,,,,15,June 2024,83,23
"June 13, 2024","June 19, 2024",,,,,,,7,1,7,,3,,,,,,,,,,18,June 2024,83,24
"June 20, 2024","June 26, 2024",,,,,,,5,,,,1,,,2,,1,,6,,,15,June 2024,83,25
"June 27, 2024","July 3, 2024",,,,,,,5,2,,,,,,,,,3,7,,,17,June 2024,83,26
"July 4, 2024","July 10, 2024",,,,,,,,4,,,,,,,,,7,7,,,18,July 2024,74,27
"July 11, 2024","July 17, 2024",,,,,,,,3,,,,,,1,,,7,7,,,18,July 2024,74,28
"July 18, 2024","July 24, 2024",3,,,1,,,,2,,,,,,,,,7,4,,,17,July 2024,74,29
"July 25, 2024","July 31, 2024",7,,,1,,,,,,,,,,,,,7,6,,,21,July 2024,74,30
"August 1, 2024","August 7, 2024",7,,,1,,,,,,,,,,,,,1,1,5,,15,August 2024,65,31
"August 8, 2024","August 14, 2024",7,,,4,,,,,,,,,,,,,,,3,,14,August 2024,65,32
"August 15, 2024","August 21, 2024",7,,,2,,,,,,,,,,,5,,,,2,,16,August 2024,65,33
"August 22, 2024","August 28, 2024",7,,,,,,,,,,2,3,,,4,,,,4,,20,August 2024,65,34
"August 29, 2024","September 4, 2024",2,,,,,,1,,,,5,7,,,,,,,,,15,September 2024,90,35
"September 5, 2024","September 11, 2024",,,,,,,2,,,,4,7,,,,,,,,,13,September 2024,90,36
"September 12, 2024","September 18, 2024",,,,,,,7,,,,6,7,,,,,,,,,20,September 2024,90,37
"September 19, 2024","September 25, 2024",,,,,,,6,,,,5,7,,,,,,,,,18,September 2024,90,38
"September 26, 2024","October 2, 2024",,,,,,,7,2,3,,4,4,,,,,,,,4,24,September 2024,90,39
"October 3, 2024","October 9, 2024",,,,,,,7,,7,,,,,,,,,3,,7,24,October 2024,79,40
"October 10, 2024","October 16, 2024",,,,,,,,,7,,,,,,,,,7,,7,21,October 2024,79,41
"October 17, 2024","October 23, 2024",,,,,,,,,7,,,,,,,,,7,,7,21,October 2024,79,42
"October 24, 2024","October 30, 2024",,,,1,,,,,6,,,,,,,,,4,,2,13,October 2024,79,43
"October 31, 2024","November 6, 2024",,,,5,,,,,3,,,,,,,,,6,7,3,24,November 2024,84,44
"November 7, 2024","November 13, 2024",,,,5,,,,,,,,,,,,,,6,7,,18,November 2024,84,45
"November 14, 2024","November 20, 2024",,,,4,,,,,,,,,,,,,,7,7,,18,November 2024,84,46
"November 21, 2024","November 27, 2024",,,,5,,,,,,,,5,,,,,,7,7,,24,November 2024,84,47
"November 28, 2024","December 4, 2024",,,,4,,,3,,,,2,7,,3,,,,5,7,,31,December 2024,121,48
"December 5, 2024","December 11, 2024",,,,4,,,7,,,,5,7,,6,,,,,7,,36,December 2024,121,49
"December 12, 2024","December 18, 2024",,,,4,,,7,,,,6,2,,2,,,,,,,21,December 2024,121,50
"December 19, 2024","December 25, 2024",,,,1,,,7,,,,2,5,,,,,,,,,15,December 2024,121,51
"December 26, 2024","January 1, 2025",,,,,,,7,,,,4,5,,1,,1,,,,,18,December 2024,121,52